经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
针织卫衣布,针织面料>>卫衣布>>卫衣布
全棉印花布,棉类面料>>梭织印花 棉类面料>>棉布
人棉提花,化纤面料>>其他粘胶(人棉)面料
仿毛绒,呢料毛纺面料>>绒布>>其他绒布
有光布,针织面料>>其他针织面料>>亮光布
缎面雪纺,化纤面料>>雪纺>>雪纺
仿记忆布,化纤面料>>羽绒服、棉服面料>>仿记忆
破卡布,棉类面料>>破卡>>破卡
青年布,棉类面料>>工装面料>>工装面料
色织条纹,棉类面料>>条子布 棉类面料>>衬衫布 化纤面料>>条子布 针织面料>>色织布
树皮皱,棉类面料>>绉布>>绉布
提花棉麻,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
印花雪纺,化纤面料>>雪纺>>雪纺
竹节麻,麻类面料>>其他麻纺面料>>麻料
亚麻,麻类面料>>亚麻布>>亚麻布
蕾丝,蕾丝/绣品>>普通蕾丝 蕾丝/绣品>>锦棉蕾丝 蕾丝/绣品>>股线蕾丝 蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>锦氨蕾丝 蕾丝/绣品>>流苏蕾丝
色丁布,丝绸/真丝面料>>色丁>>色丁 化纤面料>>色丁>>色丁
毛呢,呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他毛呢
数码印花布,针织面料>>其他针织面料>>针织印花布
,
提花牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
涤棉布,化纤面料>>其他涤纶面料
针织羊绒,呢料毛纺面料>>羊绒
羊毛呢,呢料毛纺面料>>其他毛呢面料>>其他毛呢面料
奥代尔针织布,针织面料>>其他针织面料>>奥代尔针织
缎彩牛奶丝,针织面料>>其他针织面料>>牛奶丝
缎彩太空层,针织面料>>空气层>>太空层
全棉大卫衣,针织面料>>卫衣布>>卫衣布
象皮绒,皮革/皮草>>仿皮绒 皮革/皮草>>皮绒
针织蜂窝,针织面料>>网布>>网眼布 针织面料>>网布>>网布 针织面料>>网布>>网孔布
珠地布,针织面料>>珠地>>珠地
梭织,无
裤料,无
西装料,呢料毛纺面料>>其他呢料>>西装面料 呢料毛纺面料>>其他毛纺面料>>精纺 呢料毛纺面料>>其他毛纺面料>>华达呢 呢料毛纺面料>>其他毛纺面料>>麦尔登呢 呢料毛纺面料>>其他毛纺面料>>马海毛 呢料毛纺面料>>其他毛纺面料>>哔叽 麻类面料>>亚麻布
粗纺呢绒,呢料毛纺面料>>粗纺>>粗纺呢料
双面顺毛,呢料毛纺面料>>双面 呢料毛纺面料>>顺毛呢
香风,呢料毛纺面料>>粗纺 呢料毛纺面料>>其他呢料>>花呢
麦呢,呢料毛纺面料>>麦尔登呢
顺毛,呢料毛纺面料>>顺毛呢
欧根纱绣花,丝绸/真丝面料>>欧根纱
针织（普通针织布）,无
细斜,针织面料>>针织提花>>针织斜纹 棉类面料>>斜纹布
斜纹,针织面料>>针织提花>>针织斜纹 棉类面料>>斜纹布 呢料毛纺面料>>斜纹呢
平纹,棉类面料>>平纹布
毛纺,呢料毛纺面料>>双面呢 呢料毛纺面料>>单面呢 呢料毛纺面料>>羊绒 呢料毛纺面料>>其他全毛面料 呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他毛纺面料
夹丝棉提花,针织面料>>其他针织面料>>夹丝棉
竹节布,针织面料>>针织牛仔>>竹节牛仔 针织面料>>汗布>>竹节汗布 针织面料>>粗针>>粗针竹节 针织面料>>其他针织面料>>针织竹节
欧根纱条子,丝绸/真丝面料>>欧根纱
全棉色织,棉类面料>>条子布 棉类面料>>格子布 棉类面料>>衬衫布
舒美绸,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
阿尔泰绒,呢料毛纺面料>>绒布>>气蒸绒 呢料毛纺面料>>绒布>>泰迪绒 呢料毛纺面料>>绒布>>仿羊绒
安娜丝,针织面料>>粗针
奥代尔斜纹,针织面料>>汗布>>奥代尔汗布 针织面料>>其他针织面料>>奥代尔针织
巴黎麻,化纤面料>>雪纺
冰花绒,呢料毛纺面料>>绒布>>钻石绒
