3D麻,化纤面料>>雪纺>>乱麻
75D肤感,化纤面料面料>>羽绒服、棉服面料
9040,无
9088,无
PU涂层牛津纺,化纤面料>>牛津纺>>牛津布
TR,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料
丝光绒,呢料毛纺面料>>绒布>>韩国绒
丝棉,辅料>>纺织填充物
丝麻提花,麻类面料>>亚麻布 棉类面料>>棉类混纺
丽丝绒,呢料毛纺面料>>绒布>>金丝绒
乐丽丝,化纤面料>>仿麻布
乔其纱,丝绸/真丝面料>>乔其 化纤面料>>雪纺
乱纹,针织面料>>其他针织面料 棉类面料>>其他棉纺
乱麻四面弹,化纤面料>>雪纺>>乱麻 化纤面料>>雪纺>>四面弹
乱麻布,针织面料>>其他针织面料>>针织乱麻 化纤面料>>雪纺>>乱麻
五枚缎(亮光缎纹),棉类面料>>缎纹
亚光绸缎,丝绸/真丝面料>>欧根纱 丝绸/真丝面料>>乔其 丝绸/真丝面料>>重磅真丝 丝绸/真丝面料>>双绉 丝绸/真丝面料>>丝绒 丝绸/真丝面料>>香云纱 丝绸/真丝面料>>双乔 丝绸/真丝面料>>弹力缎 丝绸/真丝面料>>色丁 丝绸/真丝面料>>玻璃纱 丝绸/真丝面料>>蚕丝缎 丝绸/真丝面料>>锦缎 丝绸/真丝面料>>顺纡绉 丝绸/真丝面料>>真丝面料
亚呢,无
亚麻,麻类面料>>亚麻布>>亚麻布
亮光尼丝纺,化纤面料>>羽绒服、棉服面料>>尼丝纺
亮光涤塔夫,化纤面料>>羽绒服、棉服面料>>涤塔夫
亮光风衣布,化纤面料>>羽绒服、棉服面料
人丝涤粘,化纤面料>>人丝乔其 化纤面料>>其他粘胶(人棉)面料
人字斜,棉类面料>>斜纹布
人棉提花,化纤面料>>其他粘胶(人棉)面料
仿兔毛,呢料毛纺面料>>绒布>>仿兔绒
仿平绒,呢料毛纺面料>>绒布
仿棉汗布,针织面料>>汗布
仿毛绒,呢料毛纺面料>>绒布>>其他绒布
仿真丝提花,化纤面料>>其他化纤面料>>仿真丝
仿羊毛,呢料毛纺面料>>绒布>>仿羊绒
仿羊羔绒,呢料毛纺面料>>绒布>>仿羊绒
仿记忆布,化纤面料>>羽绒服、棉服面料>>仿记忆
仿麻竹节布,化纤面料>>仿麻布
俏丽呢,呢料毛纺面料>>羊绒
假毛,皮革/皮草>>人造毛
全尼龙布,化纤面料面料>>其他尼龙面料
全棉印花布,棉类面料>>梭织印花 棉类面料>>棉布
全棉大卫衣,针织面料>>卫衣布>>卫衣布
全棉平纹布,棉类面料>>平纹布
全棉斜纹布,棉类面料>>斜纹布
全棉牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
全棉磨毛布,棉类面料>>其他棉纺>>磨毛布
